"Paper type: C=conference paper, J = journal paper, M=miscellaneous (capstone, keynote, VAST challenge, panel, poster, ...)",Author Keywords,IEEE XPLORE Article Number (deprecated),References (deprecated)
J,"Multivariate data, association analysis, visual exploration, multiple views",7192697,6634187;4376167;4658163;4376165;485139;4015447;6400488;6065027;4389000
C,,7429493,1183793;885685;809883
M,,7429509,
J,"Selection, spatial selection, structure-aware selection, context-aware selection, exploratory data visualization and analysis, 3D interaction, user interaction",7192726,4658123;809932;6634108;6327228;559216;6327229;5613504
J,"Blood Flow, Aneurysm, Clustering, Vortex Dynamics, Embedded Vortices",7192711,5290742;6327222;6877722;4015452;1183789;6634153;1372179;4015451;1532830;1532859
M,,7429502,
C,"Ray tracing, Visualization, Particle Data, k-d Trees",7429492,5613495;5290736;6327210
J,"Domain specific language, portable parallel programming, scientific visualization, tensor fields",7192663,5290720;6064996;1532856;6875916;6327233;1250414;809896;4376190;6876040;745290;4658184;4658155
J,"Gaussian mixture model (GMM), Incremental learning, Feature extraction and tracking, Time-varying data analysis",7192664,4376176;398877;1372214;6064965;4376165;1250374;6634159;6875975;4376210;567807;745288;4658155;4658174
J,Ensemble visualization,7194852,6875990;1532839;1532838;6876007;5290748;6875964;5613483;6634129
J,"Structured textures, terrain, deformation, dynamic surfaces",7194846,
C,"flow visualization, texture-based visualization, LIC, Gabor filter, spatial frequency, image contrast",7429490,1532853;4376173;4015421;346313;567784;964505;5290732;809892;1250362;1532781
J,"Superconductor, Vortex extraction, Feature tracking, Unstructured grid",7192679,346327;1532795;6064972;809896;568137;745288;1372197;6327274;1532851;4376212
C,"tensor visualization, feature-based visualisation, composite materials, structural mechanics",7429491,346326;5290754;485141;5613502;1372212
J,"Eye tracking, time-dependent data, spatio-temporal visualization",7194851,6065006;6327295;1173156;6634139;4658146
J,"Glyph Design, Comparative Visualization, Diffusion Tensor Field",7192722,7192624;4015499;5613480;745294;7042491;5613502
M,,7429515,
J,"In situ analysis, online analysis, mesoscale eddies, ocean modeling, climate modeling, simulation, feature extraction,feature analysis, high performance computing, supercomputing, software engineering, collaborative development, revision control",7192723,4658165;1532830;5613497;6064973
J,"Singular fibers, fiber topology, mathematical visualization, design study",7192700,4658159;663875;6327207;5613467;6875963;5613469;1183774;4658165;5290728;4376169
J,"materials science, morse-smale, topology, Delaunay, computational geometry",7192674,1532795;6064947;6875922;1532839;6064966
J,"Transfer function, scalar fields, volume rendering, touch interaction, visualization, user interfaces",7192682,4658153;6064975;568112;6327240;5613470;6064940;4015460;6064959
M,,7429514,
J,"Uncertainty quantification, linear interpolation, isosurface extraction, marching cubes, nonparametric statistics",7192629,6634171;1183769;6634159;4376198;6327235;6634129
J,"Data Transformation and Representation, GPUs and Multi-core Architectures, Volume Rendering",7192686,6327233
