"Paper type: C=conference paper, J = journal paper, M=miscellaneous (capstone, keynote, VAST challenge, panel, poster, ...)",Author Keywords,IEEE XPLORE Article Number (deprecated),References (deprecated)
J,"Visual embellishments, metaphors, icons, cognition, working memory, long-term memory, visual search, evaluation",6327282,5613460;568118;4658138;6064986
J,"Bayesian reasoning, base rate fallacy, probabilistic judgment, Euler diagrams, glyphs, crowdsourcing",6327259,5613447;5290706
J,"Design considerations, interaction, post-WIMP, NUI (Natural User Interface)",6327275,5613431;4376144;4658127;5290713;5613450;4376154;1532122;729560;4376145
J,"Layout, visualization models, tables & tree layouts, grids, treemaps, mosaic plots, dimensional stacking",6327265,175815;4015439;146386;4015431;6064987;729560;5613436;4658149;5290702
J,"Order optimization, fluctuation diagrams, classification, seriation",6327256,5613439;5613440
J,"Network, gene regulation, scale-free, adjacency matrix",6327251,6064992;4015417;4376154;1382886;1532126;1382907;4015425;4658145;4376153;1382884;4015435;5613445;1249030
J,"Layout algorithm, timeline visualization, storyline visualization, design study",6327274,4658136;4658140;6065002;6065008;4015433;4376143;1249008;4658146;1173160
J,"Design study, methodology, visualization, framework",6327248,801869;559226;4658137;5290752;5613450;1532136;5613426;6102443;6065005;4389008;5290690;6065015;5290702;1249023;5290692;5290695;6065017
J,"Presentations, information visualization, design, visual analysis",6327246,6065018;5613437;5613452;6064988
J,"Visualized decision making, eye tracking, crowdsourcing, quantitative empirical study, limitations, peripheral vision",6327247,146402;6065011;4677363;5613432;6064990;5333920
J,"Uncertainty visualization, qualitative evaluation, quantitative evaluation, perception",6327283,1532853;235199;4376197;5290731;5332611;4035764;6327281;4376132;885679
J,"Visualization, design, style, aesthetics, evaluation, online study, user experience",6327280,4376134;4376131;5290706
J,"Outflow, information visualization, temporal event sequences, state diagram, state transition",6327272,5290701;6102453;4015418;1532150;5332595;5290698;1532152;4035762
J,"Discourse structure, tree comparison, computational linguisitics, visual analytics, interaction techniques",6327270,6102439;4376152;5290706;801869;1249030
J,"Visualization, overlays, graphical perception, graph comprehension",6327269,6064957;175820;5290706;6064990
J,"Lineups, Visual inference, Power comparison, Efficiency of displays",6327249,5290695;5613434
J,"Perception, attention, color, motion, user study, nominal axis, layout, goal-oriented design",6327245,963274;568118;5613436;1532838
J,"Graph layout, Laplacian matrix, force directed layout, stress model, merging, editing, crowd sourcing",6327276,4658147;1532130;5290700;4376155
J,"Interaction techniques, visual comparison, visualization, human-computer interaction, natural interaction",6327278,4658124;4376145;6064997;4376144;4376150;5290697;1173157;6065028;4376154;4658123
J,"Graph visualization, OpenGL, edge aggregation",6327254,1532150;4015416;6065003;4658140;4015436;4015425;5613456;1382906
J,"Information visualization, user interaction, evaluation, user studies, science museums, informal learning environments",6327286,4658128;6064986;1382897
J,"Network diagrams, graph layout, perceptual theories, visual features, diagram recall, experiment",6327253,4658147;5290700
J,"Search results, mental map, voronoi treemaps, dynamic graph layout, multidimensional scaling, edge bundling",6327260,1532128;636718;4015425;5613456;5290712
J,"Information visualization, perception, wall-displays",6327257,6065014;4015437
J,"Information visualization, interactivity, node-link diagrams, animation, information seeking, exploratory search",6327277,5333443;5613456;4035752;4389006;4677370;4376146;4658131
J,"Time-series data, ranking change, Themeriver, interaction techniques",6327273,4658136;5652931;5613426;5652530;885098;1532148;6065010;4376143;4658174;5613451;4658150;5290711;801851;1532122;485140;5613457;6065008;5613429;6065009;5290708
J,"Network visualization, change management, traffic routing, traffic optimization, automotive, design study",6327279,4015417;1382904;6102443;4376154;5290695;5290690;801869;4658145;4658137;1532126;6327248;1249030;4035752
J,"Interactive visual analysis, high-dimensional data analysis",6327268,5290745;1532142;6102449;885086;346302;4658163;6065027;4376166;809866;1382891;1382892;5290704
J,"NPR, non-photorealistic rendering, sketch, hand-drawn, uncertainty, visualization",6327281,5613436;6064986;6327283;6065018;6065017;6064988
J,"Visual knowledge discovery, visual knowledge representation, hypothesis testing, visual evidence, human computer interaction",6327288,5613452;4376130;636793;6064996;4376131;559229
J,"Geovisualization, spatial data, text visualization, label placement",6327261,5652931;5613425;5613458;528686;663912;885694;1532131;1173144;4658149;5613457;5290722;885095
J,"Visualization, interaction, exploratory analysis, trajectory attribute data, spatio-temporal data",6327262,5613442;6102455;5332593;480803;1382887;1532144;6102454
J,"Glyph-based techniques, taxonomies, design methodologies, bioinformatics visualization",6327266,4015499;6327282;5613460;485141;729570
J,"Informal science education, collaborative learning, large tree visualizations, multi-touch interaction",6327285,963285;636718;5290695;4376146;1173153;4658128;1173148;4376134
J,"Pen and touch, interaction, Wizard of Oz, whiteboard, data exploration",6327284,6327281;5290720;6065018;4376145;5613431
J,"Uncertainty visualization, uncertainty categories, visual variables, semiotics",6327255,235199;6065022;5290731
J,"Uncertainty visualization, uncertainty quantification, uncertainty propagation, error ellipsoids, uncertainty fusion",6327258,4658129;6065027;1382890;1173145;398857;5332611;5613449;5290731;6065022;5613435
J,"Performance analysis, network traffic visualization, projected graph layouts",6327252,5290721;1382906
J,"Clustering, aggregate visualization, student performance analysis, visualization composition",6327287,1532140;4376150;5290770
J,"Information visualization, Information diffusion, Contagion, Social media, Microblogging, Spatiotemporal patterns",6327271,5290722;4015425;885098;4015427;4376143;5613451;4658146;6065026
M,,6400532,
C,"Visual analytics, correlative analysis",6400491,1532148;6065010;5613426;801851;801851;4389006;4376146;5613429;6065009
M,,6400537,
J,"Time series analysis, multiscale visualization, visual analytics",6327296,963273;528685
M,,6400550,
C,,6400556,1173149;1532134;6102456;4376188;4376140;4376136;1382887;528685;4658139;4388994;4388998;4677353
C,,6400493,4376144;1382904;5332629;4677357;6065026;346302;729568;4388999
J,"Human computation, human complexity, theory, framework",6327292,5652398;6102461;5290745;5652910;5652484;5332584;5652885;5333564;5652392;5332586;6102451;5333023;5333020;5332628;6064956;6064959;6064936;5652443;5653598;6102447
C,"Embodiment, distributed cognition, large and high-resolution display, sensemaking, space",6400559,4658127;4677362;1382887;4677358;4015437;4388992;5652880;6102449;4389006;6102438;5333878
M,,6400547,
C,,6400486,146402;6102449;4388999;5332584;6102448;4677352;5652443
J,"Data, analysis, visualization, enterprise",6327298,4658129;4677365;6102438;1532136;5652880;5333878;4389011;6102435
J,"Visual analytics, case study, qualitative evaluation",6327293,4677362;4035759;1382884;6102438;6400559;4389006;5333878
M,,6400541,
M,,6400540,
M,,6400548,
C,,6400489,1532138;4658163;5613467;5290725;6065024;809866;4015444;885086;1382895;4658123;1173159;1249015;146402;567787;5613498;4376155;5613468;1173161
M,,6400542,
M,,6400533,
M,,6400551,
C,,6400492,5652398;6327290
C,"Just-in-time descriptive analytics, feature identification and characterization, point-based visualizations",6400487,1249015;1532142;1382892;6065024;1382895;729568;4035766;5290704;5652885;5332628;6064985
C,,6400485,6102456;5652931;6065010;6065008;6102461;6064996;5613452;4389006;885098
M,,6400530,
M,,6400549,
M,,6400544,
M,,6400535,
J,"Large categorical data, contingency table analysis, information interfaces and representation, visual analytics",6327291,1532139;1532819;1173156;1249016;1173157
C,"Visual analytics, visual text analysis, text classification",6400484,5333443;4389004
J,"Scatter/gather clustering, alternative clustering, constrained clustering",6327289,5332584;4388999;4677350;729568;5332629
J,"User Interaction, visualization, sensemaking, analytic reasoning, visual analytics",6327294,528686;6400559;6102449;6102438;4389006
C,"Visualization, Fuzzy Logic, Interaction",6400555,1250400;4015449;4376185;4376159;1183754;1532856;6064990;1532818;4015460
C,"Social network, visualization, sensemaking, visual analytics, SocialNetSense",6400558,801853;6065012;1532126;1532788;4376154;4015418;5333020;6102440;4035752;1382890;4658129;4015424;4015417;4677365;4015425;4389006
C,,6400557,6102456;6102461;4658131
C,,6400488,1532142;5613440;5652392;1382893;5652450;6102439;6065026;1382892;5290704
C,,6400560,
M,,6400536,
J,"Cognitive theory, visual knowledge discovery, interaction design, reasoning, problem solving",6327297,4658127;4376144;5653598;4677361;6102445
M,,6400546,
M,,6400543,
M,,6400538,
M,,6400531,
C,,6400554,1382904;1382905;885098
J,"Visual analytics, eye tracking, movement data, trajectory analysis",6327295,5332593;6065011;1532150
C,,6400553,6065005;5290698;5290701;885098;5613440;5652530;1382887;1532152;963281;4658149;5290704
J,"Visual analytics, human computer interaction, information retrieval, active learning, classification, user evaluation",6327290,6102449;6102453;4389006;6400492
C,,6400494,1532145;4389008;6102462;175815
M,,6400534,
C,"Random Projections, High-dimensional Data",6400490,5652433;6065027;6102437;4389006;5652392;1532142;5332629
M,,6400545,
M,,6400539,
C,"Dynamic Data, Interpretation",6400552,5290717;1382896;4376146;4658146;885092
J,"Color blending, hue preservation, knowledge-assisted visualization, volume rendering, parallel coordinates",6327217,5290739;4658198;4376150;6327215;1250362
J,"Astrophysics, dark matter, n-body simulations, tetrahedral grids",6327212,5613495;1250390;1372176;4015486;1250404;6064976;5290736;964512;1250404
J,"Shading, perception, evaluation, surface slant, statistical analysis",6327231,6064955
J,"Earth science visualization, model validation, coordinated multiple views, spatio-temporal visualization, sea level indicators",6327226,5613482;5652895;6064952;4658193;6064950;5613487;5613486;5613488;398859;5613483;4658178
J,"Volume compression, lossless compression, floating-point compression",6327234,568138;4015488;346332
J,"Vector field topology, flow visualization, feature extraction, uncertainty",6327219,809896
J,"Reeb graph, persistent homology, topological data analysis, geometric algorithms, segmentation, microscopy",6327208,5613501;4376171;1532795
J,"Cerebral aneurysm, Hemodynamic, Inflow jet, Impingement zone, Visualization, Glyph",6327222,6064980;6064968;6064983;5290742;5613474;5613472
J,"Direct volume rendering, transfer functions, vessel visualization",6327239,1250414;5290764;964516;568112;4658153;5613470;4658181
J,"finite element visualization, GPU-based ray-casting",6327236,745310;1372224;6064943;4015501
J,"Topology, topological methods, Morse-Smale complex",6327205,6064972;4658183;4376171;6064945;1532839;4015464
J,"Heat diffusion, volume gradient operator, shape-based volume analysis, classification, transfer function",6327211,6064960;1532817
J,"Vector field, integral surfaces, metric tensor, deformation, velocity gradient, continuum mechanics",6327220,4658155;5613472;6064961;4015499;4658156;235211;4376175;1372188;5290738;5613473;5290737;4376174
J,"Display characteristics, diffusion tensor MRI, virtual environment",6327218,5290732;885694;1250414;5290695;5290742;4015473
J,"3D interaction, spatial selection, direct-touch interaction",6327229,5613504;6327228;4658123
J,"High-order finite elements, spectral/hp elements, discontinuous Galerkin, fluid flow simulation, cut surface extraction, contours, isosurfaces",6327237,1532776;175837;1372224;4015486;6064943
J,"Video visualization, adaptive fast-forward, controlled laboratory user study",6327214,4376200;4376141;4658146;4376146;4015469
J,"Quantitative evaluation, multivariate visualization, visual task design, texture perception",6327216,6064969;5290732;745292;146387;4376150;146386;175795;745294;1250362
J,"Uncertainty visualization, verifiable visualization, volume rendering",6327238,4376198;5613493;1532807;5332611
J,"Scalar field visualization, scalar field design, topological simplification",6327204,4658183;5290727;1372235;6064947
J,"Volume exploration, volume classification, normalized cut, Information-guided exploration",6327240,5613460;5290763;809932;1532795;1250370;5613476;4658153;6064952;6064956;4015448;6064936;4376207;5290751;4015460
J,"Volume rendering, photon mapping, global illumination, participating media",6327241,6064977
J,"Human computation, perception, evaluation, color blending",6327215,5290740;6064959;5290762;1532781;6327217;4658198;5290739
J,"Terrain rendering, interactive, fault simulation, mesh deformation",6327225,
J,"Petascale volume exploration, high-resolution microscopy, high-throughput imaging, neuroscience",6327233,809908;1250384;5290773
J,"Knot Theory, Math Visualization",6327209,1532804;1532843;4376203
J,"Visualization in physical sciences and engineering, topology-based techniques, vector field data",6327221,4376175;5613487;4376174;5613496;1532813
J,"Topological persistence, multivariate data, clustering",6327243,146373;1532839;4376169;1183774
J,"Gaussian process, uncertainty, interpolation",6327235,4376197;6064958;1532807
J,"Seismic visualization, volume deformation, exploded views, seismic interpretation",6327227,5290734;4015467;1532802;1250400
J,"Emergency/disaster management, interaction design, uncertainty visualization, sketch-based steering, ensemble simulation steering, integrated visualization system, flood management",6327230,5613487;6064950;5613487;5613503;6102457
J,"Automatic lighting design, structural dissimilarity, lighting similarity, lighting stability, volume rendering",6327242,4015471;6064959;1372208;1532834;1532833;1250395;1183785
J,"Multifield, time-varying, surface structures",6327244,4376165;4376168;4015447;4376167;4658163;4376167;4658174;485139;5290756;4658184
J,"Visualization system and toolkit design, vector fields, volume rendering, data streaming, data compression",6327475,1183757;964541_06;4015488;1532808;1250384;964531;1372217;1250385
J,"Visual analytics, high-performance computing, data management, parallel rendering, environmental management",6327213,
J,"Dimension reduction, mass spectrometry data, matrix factorization, visual encodings of numerical error metrics, multi-dimensional data visualization",6327232,1382894;1382895;1532138;4658163;885734;1249015;5613487;1532850;1173157;4658123
J,"Astronomical visualization, distributed volume reconstruction, direct volume rendering",6327223,1532803;1372183;346331
J,"Visualization in physical sciences and engineering, glyph-based techniques, time-varying data, point-based data",6327210,4015464;1532781;809886
J,"Geophysics, flow visualization, tracer concentration, Earth mantle, convection, large data system",6327224,5613496
J,"Time-dependent fields, similarity analysis, interactive recurrence analysis, comparative visualization",6327206,4658178;4015451;4015447;5613467;5613484;5613487;5290745;4658174;5613443;5290749;6064968;5290751
J,"Topology, scalar fields, multifields",6327207,4658165
J,"Picking, volume rendering, WYSIWYG",6327228,6327229;745337;1250384;4376185;1532833;5290766
J,"Focus+Context, Quantitative Experiment, Dual-Scale Charts",6065014,729558;5290720;4376131
J,"Parallel coordinates, privacy, clustering",6064989,146402;1532138;5613439;809866;4015444
J,"Parallel Coordinates, Angular Histogram, Attribute Curves",6065025,1173157;1382894;4015422;4376143;809866;559216;146402;5613439;1532138;4015444;4658160
J,"Aspect ratio selection, Banking to 45 degrees, Orientation resolution",6064993,4015420
J,"Network visualization, Social networks, Time series data, visual knolwedge discovery and representation, glyph-based techniques",6064994,4015420;4376154;5290690;4015419;5613497
J,"Voting, election, bias, democracy, governance, treemaps, geovisualization, hierarchy, governance",6065005,5290702;4658149;5613434
J,"Desirable difficulites, cognitive efficiency, active processing, engagement, individual differences ",6064986,528688;4658146;4376146;5613437;963279;5290695
J,"Ornithology, species distribution models, multiscale analysis, spatial data, temporal data",6065004,964510;146361;5613457;5613441;4376138;4658123
J,"Interactive visual analysis, High-dimensional data analysis",6065027,885086;346302;4658163;5290745;485139;5332611;1382891;1382892;5333431
J,"Incremental Visualization, Event-based Data, Lens Distortion",6065010,5613426;4035748;1532133;1249028;4376146
J,"Trajectories, Kernel Density Estimation, Multivariate Data, Geographical Information Systems, Raster Maps",6065019,4015439;4677356;4376138;5652478;4388992;5652467;5332593
J,"Visual links, highlighting, connectedness, routing, image-based, saliency",6064990,5613440;963286;4015425;5290706;485139;5613438;4015424;4376140
J,"Information visualization, user interfaces, toolkits, 2D graphics",6064996,885091;885098;5613453;5290720;1382904;4015439;1532122;4658136;1382905;4376146
J,"Set visualization, clustering, faceted data visualization, graph visualization 

",6064991,4658148;5613447;5290706;1532126
J,"Graph drawing, layered graphs, matrix based depiction, node-link diagram",6064992,5613445;1382886;4376154
J,"Visual Analysis, Clustering, Information Visualization",6065026,1532128;4015425;5290705;485141;4376154;146402;5332628;963283;729568;5613443;809866;4658123;4658149;5290704
J,"Graph visualization, aggregation, node-link diagrams, edge bundling, physical simulation",6065002,1249008;4658140;4376154;4376143;4015425
J,"cartography, schematic maps, fish-eye view, graph drawing, optimization, quadratic programming",6065023,4658197;1382906
J,"Quantitative evaluation, qualitative evaluation, biomedical and medical visualization",6065015,5290768;1183788;1183754;964510;1372221;4015442;1532136;5290732;964538;5290732;235201;568118;885731;4376196;4376149
J,"Hierarchy visualization, node-link layout, eye tracking, user study",6065011,5613430;1382885
J,"Time-series Data, Exploratory Visualization, Focus+Context, Lens, Interaction Techniques",6065009,5613429;801851;4389007;963273;1532148;4376151;5613426
J,"Ambient visualization, informative art, casual infovis, sustainability, distributed visualization",6065016,4376134;1249031
J,"Geodemographics, OAC, classification, cartography, uncertainty",6065022,559216;5613425;4376137;5613436;809866;4658149;4015427;4376144;1382904
J,"Multivariate data, visualization, scatterplot, Parallel Coordinates Plot",6064997,1532142;1532136;1173157;4015422;5613448;4015444;4376140;175790;4658123
J,"Flow maps, Automated Cartography, Spiral Trees",6065021,5290710;4658140;1532150;559226;4015425
J,"Focus+context visualization, metro map, octilinear layout, graph labeling, optimization",6065020,636786;559214;4658197;729558;1532818
J,"Evaluation, geovisualization, context of use, requirements, field study, prototypes, sketching, design",6065017,5613425;5290720
J,"Similarity Trees, Multidimensional Projections, Image Classification",6065013,801855;5290725;4389002;4658134;567787;5613468;5613498;1173148
J,"Dynamic graph data, multiform visualization, multi-focus+context",6065000,5290697;4658125;1382908;4376154;885087;1382906;1173153;1173160;1532151;1249006;4376152;4015424
J,"Multidimensional Projection, High Dimensional Data, Visual Data Mining",6065024,567787;5290725;4376155;1173159;5613468;5613498;1173161
J,"Semantic lenses, magic lenses, graph bundling, attribute filtering",6065028,6065003;4658140;4015425;1532150;1382906;1249008
J,"Dynamic graph visualization, graph splatting, software visualization, software evolution",6065001,5290717;4658160;146402;5613435;1532138;4015425;5290770;801866;1173160;1382894
J,"Statistics, joint distribution, conditional distribution, treemap, bar chart, mosaic plot",6064987,4376133;4015431;1173141;885091;146386;5613436;1532128;1532142;5613430;5290702;1532145
J,"Quality Metrics, High-Dimensional Data Visualization",6064985,1532145;5652433;4035766;5613439;5613452;1382895;4015421;4376144;1532142;146402;1249006;146386;4015422;1382903;5332628;1249015;5652450;4376143;729568;885092;1382892;5290704;636794
J,"Bioinformatics Visualization, Perception Theory, Scalability Issues, Visual Design",6065006,4376150;1173156;5290702;5290692
J,"Graph layouts, edge bundles, image-based information visualization",6065003,4658140;4015425;4376143;4015416;1532150;1249030
J,"Graph visualization, stereo displays, virtual reality",6064999,801869;4376140;1173160
J,"Synthetic data generation, multivariate data, high-dimensional data, interaction",6064998,1532142;346302;5652433;5332628;1382895;4658123
J,"Text visualization, Topic evolution, Hierarchical Dirichlet process, Critical event",6065008,5652931;5333443;4015435;5290722;4658136;5613451;4677364;1532122;5333437;1532152
J,"Compound graph, network and tree, TreeNetViz, visualization, multiscale and cross-scale",6065012,1382886;1249011;1249030;1173151;5290692;4015418;4658140;4015416;885091;4015424;4376140;4015425
J,"Inhomogeneous data, multiple coordinated views, multiform visualization",6064995,1532129;5613440;4015416;4376154;1249006;4015425;5290692;5613443;4015424
J,"Visualization, diagrams, whiteboards, observational study",6065018,5613453;5613452;4015435;4376143;4658147;1382902;1173148;175815;5613431
J,"Information visualization, visual analytics, parameter space, image analysis, sampling",6065007,1382885;1532788;175815;809871;885678;963290
J,"Rhetoric, narrative visualization, framing effects, semiotics, denotation, connotation ",6064988,5613452;4376131;5613437;5290695
M,,6102475,
M,,6102476,
C,"Design Theory, Visual Analytics, HCI",6102463,4677362;5333020;4658129;4035759;4389009;5290723;4677361;5290695;1532781;4677352;4658124;4376144;4677360;4677365;5333564
C,"Visual analytics, risk assessment, Coast Guard",6102460,398870;5652398;5333920;4677363;801851;4389006;5332611
C,"Neuroscience, stem cell segmentation, tracking, cell imaging, data management, visual analytics, navigation, exploration, query processing",6102459,5290766;5333895
M,,6102493,
C,"Digital collections, archival analysis, visual anaytics, data curation",6102462,885091;4658133;5290712;4389006;1382905;5652931;801860
M,,6102495,
M,,6102473,
M,,6102474,
C,,6102453,4658136;963292;963290
C," Intelligence analysis, qualitatvie user study ",6102438,4677362;235203;4677358;5290695;4389006
M,,6102485,
M,,6102489,
M,,6102466,
M,,6102469,
M,,6102481,
M,,6102478,
C,"movement, trajectories, spatio-temporal data, spatial 
events, spatial clustering, spatio-temporal clustering
",6102454,5332593;5290707
C,"Uncertain Graphs, Comparative Analysis, Model Comparison, Visualizing Uncertainty",6102442,4015419;5652398;5652910;4035746;5652443;4376154
M,,6102491,
C,,6102448,5652392;1249006;5290704;4658123
M,,6102492,
C,,6102445,5653587;4658138;4658127
M,,6102497,
C,"dissimilarity based classication, dissimilarity based
visualization, prototypes, interactive visualization, visual analytics",6102451,4376144;5290720;5290745;5652398;346302;729568;885086
C,,6102439,4658125;5290691;5333893;4376152
M,,6102496,
M,,6102479,
M,,6102486,
M,,6102490,
C,,6102440,4015419;5613437;4376154;4015424;5652520;885086;4389006
C,"observation-level interaction, visual analytics, statistical models",6102449,
C,,6102446,1382904;5290752;5290720;4015439;5613445;1382905;729560;1173148
C,"Social network analysis, data management, data transformation, graphs, visualization, end-user programming
",6102441,5613453;5290720;4015439;4376154;4015424;4035752;885086
C,,6102461,5652931;5333428;5613439;5652940;5290725;885098
C,,6102437,1532142;5652433;4035766;5332628;5613439;5290704
M,,6102482,
C,"Knowledge discovery, sensitivity analysis, local pattern visualizations",6102450,1532821;4677368;5652460;5332611;1382893;5333431
M,,6102480,
M,,6102467,
M,,6102468,
C,,6102458,5290694;5333880;1532126;1382886;5652910
M,,6102488,
C,"social media analytics, scenario-based design, geovisualization, situational awareness, text analytics, crisis management, spatio-temporal analysis ",6102456,5652478;4388994;5613451;1532134;5652922
C,"Visual analytics, asynchronous collaboration, insight, multidimensional visualization",6102447,4376134;5333023;4376131;5652879;4677358;5652932;4389011;4677365;4015424;5652885
M,,6102471,
M,,6102465,
C,,6102455,1382887;4677356;4658126;4376138;4376137;4015427;5332593;4376139;5290707;5613424
C,"Visual analytics, investigative analysis, cognitive 
model, framework, roadblock, qualitative experiment 

",6102435,1382902;4389006;5613431;5333878;5613452;4658127;1382884;4376144;5613437;4035759;4658138;4658124;4376143;4677361;4376132;4376133
M,,6102470,
C,,6102457,4658129;4376133;398857;5333020;5613487;5613488;5613450;5290711;5613486;4035741;885086
M,,6102498,
M,,6102472,
C," information discovery, social networks, social data mining, social visualization",6102443,4015419;4376154;4035752;1532126;4015424
M,,6102477,
J,"Scale space, persistence, discrete Morse theory",6064968,4658183;4658153;4376171;5290756;4015464
J,"Volumetric illumination, volume rendering, spatial comprehension",6064955,4658196;1183761;5290740;6064977;1250394;1183764
J,"Vortex extraction, feature extraction, statistical data analysis",6064973,346327;4658165;398877
J,"Dichromacy, direct volume rendering, volume classification, image recoloring",6064979,4658198;5290740;4658199;5290739;1532833;5290741
J,"Surface Characterization, Interactive Inspection, Cultural Heritage, Mesh Parameterization, Image Processing",6064962,1372206
J,"Depth of field, Microscopy, Focus stacks",6064938,146378;568136
J,"Aasymmetric tensor fields, vector fields, glyph packing, hyperstreamline placement, view-dependent",6064961,1250379;5613502;1372212;398849;1532773;1532770;4015499;1532850;4015453;1532841;1250363;745295;1372188;745294;1532832;809905;885690;346326
J,"Area-preserving surface parameterization, differential forms, Lie advection, surface visualization",6064964,4658186;5290729;4015499;1372206;1183795;964553
J,"Transfer function, Information theory, Informational divergence, Kullback-Leibler distance",6064956,5613460;4015471;4015461;5613461;4015449;1250414;4376185;5290764;568112;4658174;1532834;1183785;4015460
J,"Dimensionality reduction, circular coordinates, visualization, topological analysis",6064953,5613467;5290728;4376169;5613465;5652940
J,"Geometry-based technique, volume rendering, biomedical visualization, medical visualization, conformal mapping",6064963,4015440;5613475;964540
J,"Accessibility, ray casting, medical visualization",6064981,4376204
J,"Distance visualization, biomedical visualization, implant planning, glyphs, distance fields",6064982,1183752;5290754
J,"User study, multi-variate visualization, visual task design, visual analytics",6064969,5290732;745292;146387;146386;4376150;175795;809905;1250362;745294;1250362
J,"Volume Rendering, Shadows, Ambient Occlusion, GPU Ray-Casting, Exponential Extinction",6064942,4376160;1183764;1250384
J,"Topology, Statistics, Data analysis, Data exploration, Visualization in Physical Sciences and Engineering, Multi-variate Data",6064945,1372235;1250386;4376171;4015464;663875
J,"Features, Parallel Coordinates, Topology, Visualization",6064954,4658159;5613469;745284;5290770;809896
J,"Visualization, glyph, uncertainty, unsteady flow",6064958,1532853;398849;963273;1250402;568139;1532857;175792;480819;568116;5290694
J,"Surface Evolver, bubble-scale simulation, time-dependent visualizations",6064974,4658169;4658178
J,"High-order finite elements, spectral/hp elements, cut-plane extraction, GPU-based root-finding, GPU ray-tracing, cut-surface extraction",6064943,1532776;1372224;4015486
J,"Radiofrequency ablation, ablation zone visualization, distance field, volume rendering, GPU, interaction",6064944,5613476;745311;885694
J,"Multimedia visualization, Time series data, Illustrative visualization",6064937,4658139;1382887;1250401;4376188;4015469
J,"Interactive volume rendering, GPU-based ray-casting, Advanced illumination",6064977,6064955;1183761;1250394;1183764;4376189;1250384;5290774
J,"GPU/CUDA, multiscale, tensor reconstruction, interactive volume visualization, multiresolution rendering",6064978,1183757;663900;4376192;745311;4015441;1250385
J,"Probing, Flow visualization, Illustrative visualization, Multivalued images, Phase-contrast cine MRI",6064980,398849;5290737;5613472;5613474;4376185;4658156;5290742;1532847;5613473;1532857
J,"Volume rendering, unstructured grids, polyhedral grids, GPU-based visualization",6064976,1532796;4015496;4376191;1250390;964514;4015486;1532850;964511;809908
J,"Visual Analytics, Fluorescence Microscopy, Toponomics, Protein Interaction, Graph Visualization",6064951,5333911;4015489;4015425;4376166;5290692
J,"Direct volume rendering, k-means, entropy, view suggestion, set-cover problem, ant colony optimization",6064959,5290746;4376185;4658153;4658191;5613489;5290740;1532833;1532818;4015450;5290763;5290762;1250414;1532834
J,"Flow visualization, Parallel processing, 3D vector field visualization, Streamlines",6064941,
J,"Medical visualization, multi-touch, tabletop display, treatment planning",6064940,5613504;5652880;4015441
J,"Emergency/Disaster Management, Visual Knowledge Discovery, Visualization System and Toolkit Design, Data-Flow, Meta-Flow, Parameter Study, Uncertainty, Visualization of Control",6064950,5613487;4376187;1173149;5613489;1382904;1532795;5290771;1532143;5613488;5613487
J,"Metal-artifact reduction, multi-material components, visual analysis, 3D X-ray computed tomography",6064984,4658169;1250418
J,"Voronoi Spline, Quasi Interpolation, Volume Visualization, Box spline",6064946,4658171;1372174;4376189;964498;1532810;663848;346331
J,"Image Saliency, Very Large Scale Images, Scene Perception, Interactive Visualization, Anomaly Detection, Guided Interaction",6064936,5613460;4376209;4376165;4015449;1250401;4015448;1532833
J,"Flow Visualization, Data Reformation, Comparative Visualization",6064970,5290768;5613501;568137;1250353;5613474;964540;5290734
J,"Scalar field symmetry, contour tree, similarity measure, persistence, isosurface extraction, transfer function design",6064967,4658165;5290764;4376169
J,"Information visualization, automated presentation, applied perception, visual design, computational aesthetics",6064957,4376199;4015474
J,"Flow Visualization, Focus-and-Context, Illustrative Rendering, Aneurysm",6064983,5613473;5290742;5613474;4015450;5290732;1532818
J,"Scalar field topology, topological spine, extremum graph, Morse-Smale complex",6064947,1183772;4376172;4376169;1250376;5290727;4658183;5613467;1532839;4015464
J,"Neighborhood graphs, topology, sparsely sampled data",6064948,1532839;5613467;6064947;5652940;809932
J,"Time-varying data visualization, hierarchical representation, states, transition relationship, user interface",6064965,4658159;346321;4035742;809871;4015447;1250401;4658163;5613488;1250402;480809;4658174;964531;5290749
J,"Parameter exploration, Image segmentation, Gaussian Process Model",6064952,4376187;4658159;5613487;5613488;346302;5613441;398859;809871;6065007;885678
J,"Vortex regions, time-dependent flow fields, feature extraction",6064972,1532830;1372214;4658165;1183821;4015452
J,"Adaptive mesh refinement, AMR, Enzo, interpolation, ray casting, isosurfaces, dual meshes, stitching cells",6064949,175782;5290780;1183820
J,"Poincare map, dynamical systems, topology, chaos, area-preserving maps, invariant manifolds",6064939,1532839;1250376;1372214;885716;4376169;5613484;1532770;1183786;346326
J,"Multimodal data, volume visualization, surface similarity",6064960,5613460;4015490;5613461;4015449;4376182;4658188;5613459
J,"Molecular visualization, data filtering, geometry-based techniques, view-dependent visualization",6064966,5613501;4015487;5290753
J,"Flow visualization, flowing seed points, streak lines, streamlines, insect flight, vortex visualization, unsteady flow",6064971,1183789;1532830;4376209;1532831;4658155;5613499;1532848;1532850;5613500;885690;5613462;1372196;745296;4376173;5290738;4658156;4015451;1183821;4376212;5613473;4015452
